,Title,Genre, Meta Score
122,Driven,"Biography,Drama,Thriller",5.800000000000001
123,Them That Follow,Thriller,5.800000000000001
124,Bat*21,"Drama,War",5.800000000000001
125,The Prey,"Action,Thriller,Crime",5.800000000000001
126,The Missing Person,"Drama,Mystery,Comedy",5.7
127,Color Me Kubrick,"Drama,Comedy",5.7
128,little man,Documentary,5.7
129,Viper Club,Drama,5.7
130,Cirkus Columbia,Drama,5.7
131,In the Name of My Daughter,Drama,5.7
132,Heaven's Gate,"Adventure,Drama,Western",5.7
133,The Yellow Birds,"Drama,War",5.6000000000000005
134,The Monk,"Drama,Mystery,Thriller",5.6000000000000005
135,Alex of Venice,Drama,5.6000000000000005
136,After Midnight,"Comedy,Romance",5.6000000000000005
137,Perlasca: The Courage of a Just Man,"Drama,History,War",5.6000000000000005
138,The Human Surge,"Drama,Documentary",5.6000000000000005
139,A Very Brady Sequel,Comedy,5.6000000000000005
140,A Bag of Marbles,Drama,5.5
141,It's About You,"Biography,Music,Documentary",5.5
142,Gun Hill Road,Drama,5.5
143,SiREN,Horror,5.4
144,Cézanne et Moi,"Biography,Drama",5.4
145,Some Velvet Morning,Drama,5.4
146,Allure,"Drama,Thriller,Romance",5.4
147,CSNY/Déjà Vu,"Music,Documentary",5.4
148,In Satmar Custody,Documentary,5.300000000000001
149,Milarepa,"Action,Adventure,Biography,Drama",5.2
150,Who Do You Love,Drama,5.2
151,Three Days of Rain,Drama,5.2
152,Macbeth,"Drama,Thriller",5.1000000000000005
153,In Our Nature,Drama,5.1000000000000005
154,Trial by Fire,"Biography,Drama",5.1000000000000005
155,Burn Your Maps,Adventure,5.0
156,Six Dance Lessons in Six Weeks,"Drama,Comedy",5.0
157,All My Loved Ones,"Drama,War,Music",5.0
158,Introducing the Dwights,"Drama,Comedy",5.0
159,The Price of Milk,"Drama,Fantasy,Comedy,Romance",4.9
160,They Remain,Thriller,4.9
161,Out of Blue,"Drama,Mystery,Crime",4.9
162,Adult Life Skills,"Drama,Comedy",4.9
163,Gerontophilia,"Comedy,Romance",4.800000000000001
164,Lucky Break,"Comedy,Romance,Crime",4.800000000000001
165,Virgin,Drama,4.800000000000001
166,To the Arctic,Documentary,4.800000000000001
167,October Gale,"Drama,Thriller,Romance",4.800000000000001
168,Cote d'Azur,"Comedy,Romance,Musical",4.7
169,Full Grown Men,"Drama,Comedy",4.7
170,1492: Conquest of Paradise,"Adventure,Biography,Drama,History",4.7
171,The Architect,Drama,4.7
172,Nostalgia,Drama,4.7
173,The Tenants,Drama,4.6000000000000005
