,Title,Release Year,Length,Parental,Director,Cast,Plot,IMDB Rank,IMDB rating,Image URL
0,The Shawshank Redemption,1994,2h 22m,R,Frank Darabont,"Tim Robbins , Andy Dufresne , Morgan Freeman , Ellis Boyd 'Red' Redding , Bob Gunton , Warden Norton , William Sadler , Heywood , Clancy Brown , Captain Hadley , Gil Bellows , Tommy , Mark Rolston , Bogs Diamond , James Whitmore , Brooks Hatlen , Jeffrey DeMunn , 1946 D.A. , Larry Brandenburg , Skeet , Neil Giuntoli , Jigger , Brian Libby , Floyd , David Proval , Snooze , Joseph Ragno , Ernie , Jude Ciccolella , Guard Mert , Paul McCrane , Guard Trout , Renee Blaine , Andy Dufresne's Wife , Scott Mann , Glenn Quentin","Over the course of several years, two convicts form a friendship, seeking consolation and, eventually, redemption through basic compassion.",1,9.3,"https://m.media-amazon.com/images/M/MV5BNDE3ODcxYzMtY2YzZC00NmNlLWJiNDMtZDViZWM2MzIxZDYwXkEyXkFqcGdeQXVyNjAwNDUxODI@._V1_QL75_UX190_CR0,2,190,281_.jpg"
1,The Godfather,1972,2h 55m,R,Francis Ford Coppola,"Marlon Brando , Don Vito Corleone , Al Pacino , Michael Corleone , James Caan , Sonny Corleone , Diane Keaton , Kay Adams , Richard S. Castellano , Clemenza(as Richard Castellano) , Robert Duvall , Tom Hagen , Sterling Hayden , Capt. McCluskey , John Marley , Jack Woltz , Richard Conte , Barzini , Al Lettieri , Sollozzo , Abe Vigoda , Sal Tessio , Talia Shire , Connie Corleone Rizzi , Gianni Russo , Carlo Rizzi , John Cazale , Fredo Corleone , Rudy Bond , Cuneo , Al Martino , Johnny Fontane , Morgana King , Mama Corleone , Lenny Montana , Luca Brasi","Don Vito Corleone, head of a mafia family, decides to hand over his empire to his youngest son Michael. However, his decision unintentionally puts the lives of his loved ones in grave danger.",2,9.2,"https://m.media-amazon.com/images/M/MV5BM2MyNjYxNmUtYTAwNi00MTYxLWJmNWYtYzZlODY3ZTk3OTFlXkEyXkFqcGdeQXVyNzkwMjQ5NzM@._V1_QL75_UY281_CR4,0,190,281_.jpg"
2,The Dark Knight,2008,2h 32m,PG-13,Christopher Nolan,"Christian Bale , Bruce Wayne… , Heath Ledger , Joker , Aaron Eckhart , Harvey Dent , Michael Caine , Alfred , Maggie Gyllenhaal , Rachel , Gary Oldman , Gordon , Morgan Freeman , Lucius Fox , Monique Gabriela Curnen , Ramirez , Ron Dean , Wuertz , Cillian Murphy , Scarecrow , Chin Han , Lau , Nestor Carbonell , Mayor , Eric Roberts , Maroni , Ritchie Coster , Chechen , Anthony Michael Hall , Engel , Keith Szarabajka , Stephens , Colin McFarlane , Loeb , Joshua Harto , Reese","When the menace known as the Joker wreaks havoc and chaos on the people of Gotham, Batman must accept one of the greatest psychological and physical tests of his ability to fight injustice.",3,9.0,"https://m.media-amazon.com/images/M/MV5BMTMxNTMwODM0NF5BMl5BanBnXkFtZTcwODAyMTk2Mw@@._V1_QL75_UX190_CR0,0,190,281_.jpg"
3,The Godfather Part II,1974,3h 22m,R,Francis Ford Coppola,"Al Pacino , Michael , Robert De Niro , Vito Corleone(as Robert DeNiro) , Robert Duvall , Tom Hagen , Diane Keaton , Kay , John Cazale , Fredo Corleone , Talia Shire , Connie Corleone , Lee Strasberg , Hyman Roth , Michael V. Gazzo , Frankie Pentangeli , G.D. Spradlin , Sen. Pat Geary , Richard Bright , Al Neri , Gastone Moschin , Fanucci(as Gaston Moschin) , Tom Rosqui , Rocco Lampone , Bruno Kirby , Young Clemenza(as B. Kirby Jr.) , Frank Sivero , Genco , Francesca De Sapio , Young Mama Corleone(as Francesca de Sapio) , Morgana King , Mama Corleone , Marianna Hill , Deanna Corleone(as Mariana Hill) , Leopoldo Trieste , Signor Roberto","The early life and career of Vito Corleone in 1920s New York City is portrayed, while his son, Michael, expands and tightens his grip on the family crime syndicate.",4,9.0,"https://m.media-amazon.com/images/M/MV5BMWMwMGQzZTItY2JlNC00OWZiLWIyMDctNDk2ZDQ2YjRjMWQ0XkEyXkFqcGdeQXVyNzkwMjQ5NzM@._V1_QL75_UY281_CR4,0,190,281_.jpg"
4,12 Angry Men,1957,1h 36m,Approved,Sidney Lumet,"Henry Fonda , Juror 8 , Lee J. Cobb , Juror 3 , Martin Balsam , Juror 1 , John Fiedler , Juror 2 , E.G. Marshall , Juror 4 , Jack Klugman , Juror 5 , Edward Binns , Juror 6 , Jack Warden , Juror 7 , Joseph Sweeney , Juror 9 , Ed Begley , Juror 10 , George Voskovec , Juror 11 , Robert Webber , Juror 12 , Rudy Bond , Judge(uncredited) , Tom Gorman , Stenographer(uncredited) , James Kelly , Guard(uncredited) , Billy Nelson , Court Clerk(uncredited) , John Savoca , The Accused(uncredited) , Walter Stocker , Man Waiting for Elevator(uncredited)",The jury in a New York City murder trial is frustrated by a single member whose skeptical caution forces them to more carefully consider the evidence before jumping to a hasty verdict.,5,9.0,"https://m.media-amazon.com/images/M/MV5BMWU4N2FjNzYtNTVkNC00NzQ0LTg0MjAtYTJlMjFhNGUxZDFmXkEyXkFqcGdeQXVyNjc1NTYyMjg@._V1_QL75_UX190_CR0,6,190,281_.jpg"
5,Schindler's List,1993,3h 15m,R,Steven Spielberg,"Liam Neeson , Oskar Schindler , Ralph Fiennes , Amon Goeth , Ben Kingsley , Itzhak Stern , Caroline Goodall , Emilie Schindler , Jonathan Sagall , Poldek Pfefferberg(as Jonathan Sagalle) , Embeth Davidtz , Helen Hirsch , Malgorzata Gebel , Wiktoria Klonowska(as Malgoscha Gebel) , Shmuel Levy , Wilek Chilowicz(as Shmulik Levy) , Mark Ivanir , Marcel Goldberg , Béatrice Macola , Ingrid(as Beatrice Macola) , Andrzej Seweryn , Julian Scherner , Friedrich von Thun , Rolf Czurda(as Friedrich Von Thun) , Krzysztof Luft , Herman Toffel , Harry Nehring , Leo John , Norbert Weisser , Albert Hujar , Adi Nitzan , Mila Pfefferberg , Michael Schneider , Juda Dresner , Miri Fabian , Chaja Dresner","In German-occupied Poland during World War II, industrialist Oskar Schindler gradually becomes concerned for his Jewish workforce after witnessing their persecution by the Nazis.",6,9.0,"https://m.media-amazon.com/images/M/MV5BNDE4OTMxMTctNmRhYy00NWE2LTg3YzItYTk3M2UwOTU5Njg4XkEyXkFqcGdeQXVyNjU0OTQ0OTY@._V1_QL75_UX190_CR0,2,190,281_.jpg"
6,The Lord of the Rings: The Return of the King,2003,3h 21m,PG-13,Peter Jackson,"Elijah Wood , Frodo , Viggo Mortensen , Aragorn , Ian McKellen , Gandalf , Orlando Bloom , Legolas , Noel Appleby , Everard Proudfoot , Ali Astin , Elanor Gamgee(as Alexandra Astin) , Sean Astin , Sam , David Aston , Gondorian Soldier 3 , John Bach , Madril , Sean Bean , Boromir , Cate Blanchett , Galadriel , Billy Boyd , Pippin , Sadwyn Brophy , Eldarion , Alistair Browning , Damrod , Marton Csokas , Celeborn , Richard Edge , Gondorian Soldier 1 , Jason Fitch , Uruk 2 , Bernard Hill , Theoden",Gandalf and Aragorn lead the World of Men against Sauron's army to draw his gaze from Frodo and Sam as they approach Mount Doom with the One Ring.,7,9.0,"https://m.media-amazon.com/images/M/MV5BNzA5ZDNlZWMtM2NhNS00NDJjLTk4NDItYTRmY2EwMWZlMTY3XkEyXkFqcGdeQXVyNzkwMjQ5NzM@._V1_QL75_UX190_CR0,0,190,281_.jpg"
7,Pulp Fiction,1994,2h 34m,R,Quentin Tarantino,"John Travolta , Vincent Vega , Uma Thurman , Mia Wallace , Samuel L. Jackson , Jules Winnfield , Bruce Willis , Butch Coolidge , Tim Roth , Pumpkin , Amanda Plummer , Honey Bunny , Laura Lovelace , Waitress , Phil LaMarr , Marvin , Frank Whaley , Brett , Burr Steers , Roger , Ving Rhames , Marsellus Wallace , Paul Calderon , Paul , Bronagh Gallagher , Trudi , Rosanna Arquette , Jody , Eric Stoltz , Lance , Jerome Patrick Hoban , Ed Sullivan , Michael Gilden , Phillip Morris Page , Gary Shorelle , Ricky Nelson","The lives of two mob hitmen, a boxer, a gangster and his wife, and a pair of diner bandits intertwine in four tales of violence and redemption.",8,8.9,"https://m.media-amazon.com/images/M/MV5BNGNhMDIzZTUtNTBlZi00MTRlLWFjM2ItYzViMjE3YzI5MjljXkEyXkFqcGdeQXVyNzkwMjQ5NzM@._V1_QL75_UY281_CR2,0,190,281_.jpg"
8,The Lord of the Rings: The Fellowship of the Ring,2001,2h 58m,PG-13,Peter Jackson,"Elijah Wood , Frodo , Ian McKellen , Gandalf , Orlando Bloom , Legolas , Sean Bean , Boromir , Alan Howard , Voice of the Ring(voice) , Noel Appleby , Everard Proudfoot , Sean Astin , Sam , Sala Baker , Sauron… , Billy Boyd , Pippin , Andy Serkis , Gollum(voice) , Marton Csokas , Celeborn , Viggo Mortensen , Aragorn , Megan Edwards , Mrs. Proudfoot , Michael Elsworth , Gondorian Archivist… , Cate Blanchett , Galadriel , Mark Ferguson , Gil-galad , Ian Holm , Bilbo , Christopher Lee , Saruman",A meek Hobbit from the Shire and eight companions set out on a journey to destroy the powerful One Ring and save Middle-earth from the Dark Lord Sauron.,9,8.8,"https://m.media-amazon.com/images/M/MV5BN2EyZjM3NzUtNWUzMi00MTgxLWI0NTctMzY4M2VlOTdjZWRiXkEyXkFqcGdeQXVyNDUzOTQ5MjY@._V1_QL75_UX190_CR0,0,190,281_.jpg"
9,"The Good, the Bad and the Ugly",1966,2h 58m,Approved,Sergio Leone,"Clint Eastwood , Blondie , Eli Wallach , Tuco , Lee Van Cleef , Sentenza… , Aldo Giuffrè , Alcoholic Union Captain(as Aldo Giuffre') , Luigi Pistilli , Father Pablo Ramirez , Rada Rassimov , Maria , Enzo Petito , Storekeeper , Claudio Scarchilli , Mexican Peon , John Bartha , Sheriff(as John Bartho) , Livio Lorenzon , Baker , Antonio Casale , Jackson… , Sandro Scarchilli , Mexican Peon , Benito Stefanelli , Member of Angel Eyes' Gang , Angelo Novi , Monk , Antonio Casas , Stevens , Aldo Sambrell , Member of Angel Eyes' Gang , Al Mulock , One-Armed Bounty Hunter(as Al Mulloch) , Sergio Mendizábal , Blonde Bounty Hunter(as Sergio Mendizabal)",A bounty hunting scam joins two men in an uneasy alliance against a third in a race to find a fortune in gold buried in a remote cemetery.,10,8.8,"https://m.media-amazon.com/images/M/MV5BNjJlYmNkZGItM2NhYy00MjlmLTk5NmQtNjg1NmM2ODU4OTMwXkEyXkFqcGdeQXVyMjUzOTY1NTc@._V1_QL75_UX190_CR0,2,190,281_.jpg"
10,Forrest Gump,1994,2h 22m,PG-13,Robert Zemeckis,"Tom Hanks , Forrest Gump , Robin Wright , Jenny Curran , Gary Sinise , Lieutenant Dan Taylor , Sally Field , Mrs. Gump , Rebecca Williams , Nurse at Park Bench , Michael Conner Humphreys , Young Forrest , Harold G. Herthum , Doctor(as Harold Herthum) , George Kelly , Barber , Bob Penny , Crony , John Randall , Crony , Sam Anderson , Principal , Margo Moorer , Louise , Ione M. Telech , Elderly Woman , Christine Seabrook , Elderly Woman's Daughter , John Worsham , Southern Gentleman… , Peter Dobson , Young Elvis Presley , Siobhan Fallon Hogan , School Bus Driver(as Siobhan J. Fallon) , Alexander Zemeckis , School Bus Boy","The history of the United States from the 1950s to the '70s unfolds from the perspective of an Alabama man with an IQ of 75, who yearns to be reunited with his childhood sweetheart.",11,8.8,"https://m.media-amazon.com/images/M/MV5BNWIwODRlZTUtY2U3ZS00Yzg1LWJhNzYtMmZiYmEyNmU1NjMzXkEyXkFqcGdeQXVyMTQxNzMzNDI@._V1_QL75_UY281_CR2,0,190,281_.jpg"
11,Fight Club,1999,2h 19m,R,David Fincher,"Brad Pitt , Tyler Durden , Edward Norton , Narrator , Meat Loaf , Robert Paulsen(as Meat Loaf Aday) , Zach Grenier , Richard Chesler (Regional Manager) , Richmond Arquette , Intern at Hospital , David Andrews , Thomas at Remaining Men Together , George Maguire , Group Leader - Remaining Men Together , Eugenie Bondurant , Weeping Woman - Onward and Upward , Christina Cabot , Leader - Partners in Positivity , Helena Bonham Carter , Marla Singer , Sydney 'Big Dawg' Colston , Speaker - Free and Clear , Rachel Singer , Chloe , Christie Cronenweth , Airline Check-In Attendant , Tim DeZarn , Federated Motor Co. Inspector Bird , Ezra Buzzington , Federated Motor Co. Inspector Dent , Dierdre Downing-Jackson , Business Woman on Plane , Bob Stephenson , Airport Security Officer(as Robert J. Stephenson) , Charlie Dell , Doorman at Pearson Towers",An insomniac office worker and a devil-may-care soap maker form an underground fight club that evolves into much more.,12,8.8,"https://m.media-amazon.com/images/M/MV5BODQ0OWJiMzktYjNlYi00MzcwLThlZWMtMzRkYTY4ZDgxNzgxXkEyXkFqcGdeQXVyNzkwMjQ5NzM@._V1_QL75_UX190_CR0,2,190,281_.jpg"
12,The Lord of the Rings: The Two Towers,2002,2h 59m,PG-13,Peter Jackson,"Elijah Wood , Frodo , Ian McKellen , Gandalf , Viggo Mortensen , Aragorn , Orlando Bloom , Legolas , Bruce Allpress , Aldor , Sean Astin , Sam , John Bach , Madril , Sala Baker , Man Flesh Uruk , Cate Blanchett , Galadriel , Billy Boyd , Pippin , Jed Brophy , Sharku… , Sam Comery , Eothain , Brad Dourif , Wormtongue , Calum Gittins , Haleth , Bernard Hill , Theoden , Bruce Hopkins , Gamling , Paris Howe Strewe , Theodred , Christopher Lee , Saruman","While Frodo and Sam edge closer to Mordor with the help of the shifty Gollum, the divided fellowship makes a stand against Sauron's new ally, Saruman, and his hordes of Isengard.",13,8.8,"https://m.media-amazon.com/images/M/MV5BZGMxZTdjZmYtMmE2Ni00ZTdkLWI5NTgtNjlmMjBiNzU2MmI5XkEyXkFqcGdeQXVyNjU0OTQ0OTY@._V1_QL75_UX190_CR0,7,190,281_.jpg"
13,Inception,2010,2h 28m,PG-13,Christopher Nolan,"Leonardo DiCaprio , Cobb , Joseph Gordon-Levitt , Arthur , Elliot Page , Ariadne(as Ellen Page) , Ken Watanabe , Saito , Tom Hardy , Eames , Dileep Rao , Yusuf , Cillian Murphy , Robert Fischer , Tom Berenger , Browning , Marion Cotillard , Mal , Pete Postlethwaite , Maurice Fischer , Michael Caine , Miles , Lukas Haas , Nash , Tai-Li Lee , Tadashi , Claire Geare , Phillipa (3 Years Old) , Magnus Nolan , James (20 Months Old) , Taylor Geare , Phillipa (5 Years Old) , Johnathan Geare , James (3 Years Old) , Tohoru Masamune , Japanese Security Guard","A thief who steals corporate secrets through the use of dream-sharing technology is given the inverse task of planting an idea into the mind of a C.E.O., but his tragic past may doom the project and his team to disaster.",14,8.8,"https://m.media-amazon.com/images/M/MV5BMjAxMzY3NjcxNF5BMl5BanBnXkFtZTcwNTI5OTM0Mw@@._V1_QL75_UX190_CR0,0,190,281_.jpg"
14,Star Wars: Episode V - The Empire Strikes Back,1980,2h 4m,PG,Irvin Kershner,"Mark Hamill , Luke Skywalker , Harrison Ford , Han Solo , Carrie Fisher , Princess Leia , Billy Dee Williams , Lando Calrissian , Anthony Daniels , C-3PO , David Prowse , Darth Vader , Peter Mayhew , Chewbacca , Kenny Baker , R2-D2 , Frank Oz , Yoda(voice) , Alec Guinness , Ben (Obi-Wan) Kenobi , Jeremy Bulloch , Boba Fett , John Hollis , Lobot, Lando's Aide , Jack Purvis , Chief Ugnaught , Des Webb , Snow Creature , Clive Revill , Emperor(voice) , Kenneth Colley , Admiral Piett , Julian Glover , General Veers , Michael Sheard , Admiral Ozzel","After the Rebels are overpowered by the Empire, Luke Skywalker begins his Jedi training with Yoda, while his friends are pursued across the galaxy by Darth Vader and bounty hunter Boba Fett.",15,8.7,"https://m.media-amazon.com/images/M/MV5BYmU1NDRjNDgtMzhiMi00NjZmLTg5NGItZDNiZjU5NTU4OTE0XkEyXkFqcGdeQXVyNzkwMjQ5NzM@._V1_QL75_UX190_CR0,7,190,281_.jpg"
15,The Matrix,1999,2h 16m,R,Lana Wachowski,"Keanu Reeves , Neo , Laurence Fishburne , Morpheus , Carrie-Anne Moss , Trinity , Hugo Weaving , Agent Smith , Gloria Foster , Oracle , Joe Pantoliano , Cypher , Marcus Chong , Tank , Julian Arahanga , Apoc , Matt Doran , Mouse , Belinda McClory , Switch , Anthony Ray Parker , Dozer , Paul Goddard , Agent Brown , Robert Taylor , Agent Jones , David Aston , Rhineheart , Marc Aden Gray , Choi(as Marc Gray) , Ada Nicodemou , Dujour (White Rabbit Girl) , Deni Gordon , Priestess , Rowan Witt , Spoon Boy","When a beautiful stranger leads computer hacker Neo to a forbidding underworld, he discovers the shocking truth--the life he knows is the elaborate deception of an evil cyber-intelligence.",16,8.7,"https://m.media-amazon.com/images/M/MV5BNzQzOTk3OTAtNDQ0Zi00ZTVkLWI0MTEtMDllZjNkYzNjNTc4L2ltYWdlXkEyXkFqcGdeQXVyNjU0OTQ0OTY@._V1_QL75_UX190_CR0,2,190,281_.jpg"
16,Goodfellas,1990,2h 25m,R,Martin Scorsese,"Robert De Niro , James Conway , Ray Liotta , Henry Hill , Joe Pesci , Tommy DeVito , Lorraine Bracco , Karen Hill , Paul Sorvino , Paul Cicero , Frank Sivero , Frankie Carbone , Tony Darrow , Sonny Bunz , Mike Starr , Frenchy , Frank Vincent , Billy Batts , Chuck Low , Morris Kessler , Frank DiLeo , Tuddy Cicero , Henny Youngman , Henny Youngman , Gina Mastrogiacomo , Janice Rossi , Catherine Scorsese , Tommy's Mother , Charles Scorsese , Vinnie , Suzanne Shepherd , Karen's Mother , Debi Mazar , Sandy , Margo Winkler , Belle Kessler","The story of Henry Hill and his life in the mafia, covering his relationship with his wife Karen and his mob partners Jimmy Conway and Tommy DeVito.",17,8.7,"https://m.media-amazon.com/images/M/MV5BY2NkZjEzMDgtN2RjYy00YzM1LWI4ZmQtMjIwYjFjNmI3ZGEwXkEyXkFqcGdeQXVyNzkwMjQ5NzM@._V1_QL75_UX190_CR0,2,190,281_.jpg"
17,One Flew Over the Cuckoo's Nest,1975,2h 13m,R,Milos Forman,"Jack Nicholson , R.P. McMurphy , Louise Fletcher , Nurse Ratched , Michael Berryman , Ellis , Peter Brocco , Col. Matterson , Dean R. Brooks , Dr. Spivey , Alonzo Brown , Miller , Scatman Crothers , Turkle , Mwako Cumbuka , Warren , Danny DeVito , Martini , William Duell , Sefelt , Josip Elic , Bancini , Lan Fendors , Nurse Itsu , Nathan George , Washington , Ken Kenny , Beans Garfield , Mel Lambert , Harbor Master , Sydney Lassick , Cheswick , Kay Lee , Night Supervisor , Christopher Lloyd , Taber","In the Fall of 1963, a Korean War veteran and criminal pleads insanity and is admitted to a mental institution, where he rallies up the scared patients against the tyrannical nurse.",18,8.7,"https://m.media-amazon.com/images/M/MV5BZjA0OWVhOTAtYWQxNi00YzNhLWI4ZjYtNjFjZTEyYjJlNDVlL2ltYWdlL2ltYWdlXkEyXkFqcGdeQXVyMTQxNzMzNDI@._V1_QL75_UX190_CR0,0,190,281_.jpg"
18,Se7en,1995,2h 7m,R,David Fincher,"Morgan Freeman , Somerset , Brad Pitt , Mills , Kevin Spacey , John Doe , Andrew Kevin Walker , Dead Man at 1st Crime Scene(as Andy Walker) , Daniel Zacapa , Detective Taylor at First Murder , Gwyneth Paltrow , Tracy , John Cassini , Officer Davis , Bob Mack , Gluttony Victim , Peter Crombie , Dr. O'Neill , Reg E. Cathey , Dr. Santiago , R. Lee Ermey , Police Captain , George Christy , Workman at Door of Somerset's Office , Endre Hules , Cab Driver , Hawthorne James , George the Night Guard at the Library , William Davidson , First Guard at the Library(as Roscoe Davidson) , Bob Collins , Second Guard at the Library , Jimmy Dale Hartsell , Library Janitor , Richard Roundtree , Talbot","Two detectives, a rookie and a veteran, hunt a serial killer who uses the seven deadly sins as his motives.",19,8.6,"https://m.media-amazon.com/images/M/MV5BOTUwODM5MTctZjczMi00OTk4LTg3NWUtNmVhMTAzNTNjYjcyXkEyXkFqcGdeQXVyNjU0OTQ0OTY@._V1_QL75_UX190_CR0,8,190,281_.jpg"
19,It's a Wonderful Life,1946,2h 10m,PG,Frank Capra,"James Stewart , George Bailey , Donna Reed , Mary Hatch , Lionel Barrymore , Mr. Potter , Thomas Mitchell , Uncle Billy , Henry Travers , Clarence , Beulah Bondi , Mrs. Bailey , Frank Faylen , Ernie , Ward Bond , Bert , Gloria Grahame , Violet , H.B. Warner , Mr. Gower , Frank Albertson , Sam Wainwright , Todd Karns , Harry Bailey , Samuel S. Hinds , Pa Bailey , Mary Treen , Cousin Tilly , Virginia Patton , Ruth Dakin , Charles Williams , Cousin Eustace , Sarah Edwards , Mrs. Hatch(as Sara Edwards) , William Edmunds , Mr. Martini(as Bill Edmunds)",An angel is sent from Heaven to help a desperately frustrated businessman by showing him what life would have been like if he had never existed.,20,8.6,"https://m.media-amazon.com/images/M/MV5BZjc4NDZhZWMtNGEzYS00ZWU2LThlM2ItNTA0YzQ0OTExMTE2XkEyXkFqcGdeQXVyNjUwMzI2NzU@._V1_QL75_UY281_CR2,0,190,281_.jpg"
20,Seven Samurai,1954,3h 27m,Not Rated,Akira Kurosawa,"Toshirô Mifune , Kikuchiyo(as Toshiro Mifune) , Takashi Shimura , Kambei Shimada , Keiko Tsushima , Shino , Yukiko Shimazaki , Wife(as Yukio Shimazaki) , Kamatari Fujiwara , Farmer Manzo , Daisuke Katô , Shichiroji , Isao Kimura , Katsushiro(as Ko Kimura) , Minoru Chiaki , Heihachi , Seiji Miyaguchi , Kyuzo , Yoshio Kosugi , Farmer Mosuke , Bokuzen Hidari , Farmer Yohei , Yoshio Inaba , Gorobei Katayama , Yoshio Tsuchiya , Farmer Rikichi , Kokuten Kôdô , Old Man Gisaku(as Kuninori Todo) , Eijirô Tôno , Thief , Kichijirô Ueda , Bandit Scout , Jun Tatara , Coolie A , Atsushi Watanabe , Bun Seller","Farmers from a village exploited by bandits hire a veteran samurai for protection, who gathers six other samurai to join him.",21,8.6,"https://m.media-amazon.com/images/M/MV5BNTkwY2I5NWMtMjNlNi00ZThjLWI4NzQtNDI4M2I4OGM1YjAzXkEyXkFqcGdeQXVyNzYxODE3NTQ@._V1_QL75_UY281_CR5,0,190,281_.jpg"
21,Interstellar,2014,2h 49m,PG-13,Christopher Nolan,"Matthew McConaughey , Cooper , Anne Hathaway , Brand , Jessica Chastain , Murph , Mackenzie Foy , Murph (10 Yrs.) , Ellen Burstyn , Murph (Older) , John Lithgow , Donald , Timothée Chalamet , Tom (15 Yrs.) , David Oyelowo , School Principal , Collette Wolfe , Ms. Hanley , Francis X. McCarthy , Boots(as Francis Xavier McCarthy) , Bill Irwin , TARS(voice) , Andrew Borba , Smith , Wes Bentley , Doyle , William Devane , Williams , Michael Caine , Professor Brand , David Gyasi , Romilly , Josh Stewart , CASE(voice) , Casey Affleck , Tom","When Earth becomes uninhabitable in the future, a farmer and ex-NASA pilot, Joseph Cooper, is tasked to pilot a spacecraft, along with a team of researchers, to find a new planet for humans.",22,8.7,"https://m.media-amazon.com/images/M/MV5BZjdkOTU3MDktN2IxOS00OGEyLWFmMjktY2FiMmZkNWIyODZiXkEyXkFqcGdeQXVyMTMxODk2OTU@._V1_QL75_UX190_CR0,0,190,281_.jpg"
22,The Silence of the Lambs,1991,1h 58m,R,Jonathan Demme,"Jodie Foster , Clarice Starling , Anthony Hopkins , Dr. Hannibal Lecter , Scott Glenn , Jack Crawford , Ted Levine , Jame Gumb , Anthony Heald , Dr. Frederick Chilton , Brooke Smith , Catherine Martin , Diane Baker , Senator Ruth Martin , Kasi Lemmons , Ardelia Mapp , Charles Napier , Lt. Boyle , Tracey Walter , Lamar , Roger Corman , FBI Director Hayden Burke , Ron Vawter , Paul Krendler , Danny Darst , Sgt. Tate , Jeffrie Lane , Clarice's Father , Frankie Faison , Barney , Paul Lazar , Dr. Pilcher , Dan Butler , Roden , Chris Isaak , SWAT Commander","A young F.B.I. cadet must receive the help of an incarcerated and manipulative cannibal killer to help catch another serial killer, a madman who skins his victims.",23,8.6,"https://m.media-amazon.com/images/M/MV5BNjNhZTk0ZmEtNjJhMi00YzFlLWE1MmEtYzM1M2ZmMGMwMTU4XkEyXkFqcGdeQXVyNjU0OTQ0OTY@._V1_QL75_UY281_CR0,0,190,281_.jpg"
23,Spider-Man: Across the Spider-Verse,2023,2h 20m,PG,Joaquim Dos Santos,"Shameik Moore , Miles Morales(voice) , Hailee Steinfeld , Gwen Stacy(voice) , Brian Tyree Henry , Jeff Morales(voice) , Luna Lauren Velez , Rio Morales(voice) , Jake Johnson , Peter B. Parker(voice) , Oscar Isaac , Miguel O'Hara(voice) , Jason Schwartzman , Spot(voice) , Issa Rae , Jessica Drew(voice) , Daniel Kaluuya , Hobie Brown(voice) , Karan Soni , Pavitr Prabhakar(voice) , Shea Whigham , George Stacy(voice) , Greta Lee , LYLA(voice) , Mahershala Ali , Uncle Aaron(voice) , Amandla Stenberg , Margo Kess: Spider-Byte(voice) , Jharrel Jerome , Miles G. Morales(voice) , Andy Samberg , Ben Reilly(voice) , Jack Quaid , Peter Parker(voice) , Rachel Dratch , Ms. Weber(voice)","Miles Morales catapults across the Multiverse, where he encounters a team of Spider-People charged with protecting its very existence. When the heroes clash on how to handle a new threat, Miles must redefine what it means to be a hero.",24,8.7,"https://m.media-amazon.com/images/M/MV5BMzI0NmVkMjEtYmY4MS00ZDMxLTlkZmEtMzU4MDQxYTMzMjU2XkEyXkFqcGdeQXVyMzQ0MzA0NTM@._V1_QL75_UX190_CR0,0,190,281_.jpg"
24,Saving Private Ryan,1998,2h 49m,R,Steven Spielberg,"Tom Hanks , Captain Miller , Matt Damon , Private Ryan , Tom Sizemore , Sergeant Horvath , Edward Burns , Private Reiben , Barry Pepper , Private Jackson , Adam Goldberg , Private Mellish , Vin Diesel , Private Caparzo , Giovanni Ribisi , T… , Jeremy Davies , Corporal Upham , Ted Danson , Captain Hamill , Paul Giamatti , Sergeant Hill , Dennis Farina , Lieutenant Colonel Anderson , Joerg Stadler , Steamboat Willie , Max Martini , Corporal Henderson(as Maximilian Martini) , Dylan Bruno , Toynbe , Daniel Cerqueira , Weller , Demetri Goritsas , Parker , Ian Porter , Trask","Following the Normandy Landings, a group of U.S. soldiers go behind enemy lines to retrieve a paratrooper whose brothers have been killed in action.",25,8.6,"https://m.media-amazon.com/images/M/MV5BZjhkMDM4MWItZTVjOC00ZDRhLThmYTAtM2I5NzBmNmNlMzI1XkEyXkFqcGdeQXVyNDYyMDk5MTU@._V1_QL75_UY281_CR1,0,190,281_.jpg"
25,City of God,2002,2h 10m,R,Fernando Meirelles,"Alexandre Rodrigues , Buscapé - Rocket , Leandro Firmino , Zé Pequeno - Li'l Zé(as Leandro Firmino da Hora) , Matheus Nachtergaele , Sandro Cenoura - Carrot , Phellipe Haagensen , Bené - Benny , Douglas Silva , Dadinho - Li'l Dice , Jonathan Haagensen , Cabeleira - Shaggy , Seu Jorge , Mané Galinha - Knockout Ned , Jefechander Suplino , Alicate - Clipper , Alice Braga , Angélica , Emerson Gomes , Barbantinho - Stringy , Edson Oliveira , Barbantinho Adulto - Older Stringy , Michel Gomes , Bené Criança - Young Benny(as Michel De Souza Gomes) , Roberta Rodrigues , Berenice - Bernice , Luis Otávio , Buscapé Criança - Young Rocket , Kiko Marques , Cabeção - Melonhead(as Maurício Marques) , Gustavo Engrácia , Editor do Jornal - Rogerio Reis , Darlan Cunha , Filé-com-Fritas - Steak and Fries , Robson Rocha , Gelson - Gerson","In the slums of Rio, two kids' paths diverge as one struggles to become a photographer and the other a kingpin.",26,8.6,"https://m.media-amazon.com/images/M/MV5BMGU5OWEwZDItNmNkMC00NzZmLTk1YTctNzVhZTJjM2NlZTVmXkEyXkFqcGdeQXVyMTMxODk2OTU@._V1_QL75_UY281_CR1,0,190,281_.jpg"
