,Title,Release Year,Length,Parental,Director,Cast,Plot,IMDB Rank,IMDB rating,Image URL
202,Jaws,1975,2h 4m,PG,Steven Spielberg,"Roy Scheider , Brody , Robert Shaw , Quint , Richard Dreyfuss , Hooper , Lorraine Gary , Ellen Brody , Murray Hamilton , Vaughn , Carl Gottlieb , Meadows , Jeffrey Kramer , Hendricks(as Jeffrey C. Kramer) , Susan Backlinie , Chrissie , Jonathan Filley , Cassidy , Ted Grossman , Estuary Victim , Chris Rebello , Michael Brody , Jay Mello , Sean Brody , Lee Fierro , Mrs. Kintner , Jeffrey Voorhees , Alex Kintner , Craig Kingsbury , Ben Gardner , Robert Nevin , Medical Examiner(as Dr. Robert Nevin) , Peter Benchley , Interviewer , Jonathan Searle , Boy Swimmer with Cardboard Fin","When a killer shark unleashes chaos on a beach community off Cape Cod, it's up to a local sheriff, a marine biologist, and an old seafarer to hunt the beast down.",203,8.1,"https://m.media-amazon.com/images/M/MV5BMmVmODY1MzEtYTMwZC00MzNhLWFkNDMtZjAwM2EwODUxZTA5XkEyXkFqcGdeQXVyNTAyODkwOQ@@._V1_QL75_UX190_CR0,5,190,281_.jpg"
203,How to Train Your Dragon,2010,1h 38m,PG,Dean DeBlois,"Jay Baruchel , Hiccup(voice) , Gerard Butler , Stoick(voice) , Christopher Mintz-Plasse , Fishlegs(voice) , Craig Ferguson , Gobber(voice) , America Ferrera , Astrid(voice) , Jonah Hill , Snotlout(voice) , T.J. Miller , Tuffnut(voice)(as TJ Miller) , Kristen Wiig , Ruffnut(voice) , Robin Atkin Downes , Ack(voice) , Philip McGrade , Starkard(voice) , Kieron Elliott , Hoark the Haggard(voice) , Ashley Jensen , Phlegma the Fierce(voice) , David Tennant , Spitelout(voice)","A hapless young Viking who aspires to hunt dragons becomes the unlikely friend of a young dragon himself, and learns there may be more to the creatures than he assumed.",204,8.1,"https://m.media-amazon.com/images/M/MV5BMjA5NDQyMjc2NF5BMl5BanBnXkFtZTcwMjg5ODcyMw@@._V1_QL75_UX190_CR0,1,190,281_.jpg"
204,Mary and Max,2009,1h 32m,Not Rated,Adam Elliot,"Toni Collette , Mary Daisy Dinkle(voice) , Philip Seymour Hoffman , Max Jerry Horovitz(voice) , Eric Bana , Damien Popodopolous(voice) , Barry Humphries , Narrator(voice) , Christopher Massey , 911 Operator(voice)(as Chris Massey) , Oliver Marks , Alleyway Bully One(voice) , Daisy Kocher , Alleyway Bully Two(voice)… , Daniel Marks , Alleyway Bully Three(voice) , Hamish Hughes , Animals (Miscellaneous)(voice)… , Dan Doherty , BMX Bandit(voice) , Julie Forsyth , Bus Stop Mother(voice)… , Mandy Mao , Cher the Chihuahua(voice)… , Patrick McCabe , Datsun Sunny Driver(voice) , Adam Elliot , Dr. Bernard Hazelhof(voice)… , Mr. Peck , Ethel the Rooster(voice) , Michael James Allen , Ferrari Driver(voice)(as Michael Allen) , Bill Murphy , Frankston Icebreaker One(voice) , Shaun Patten , Frankston Icebreaker Two(voice)","A tale of friendship between two unlikely pen pals: Mary, a lonely, eight-year-old girl living in the suburbs of Melbourne, and Max, a forty-four-year old, severely obese man living in New York.",205,8.1,"https://m.media-amazon.com/images/M/MV5BMDgzYjQwMDMtNGUzYi00MTRmLWIyMGMtNjE1OGZkNzY2YWIzL2ltYWdlXkEyXkFqcGdeQXVyNjU0OTQ0OTY@._V1_QL75_UY281_CR4,0,190,281_.jpg"
205,The Seventh Seal,1957,1h 36m,Not Rated,Ingmar Bergman,"Max von Sydow as Antonius Block as Gunnar Björnstrand as Jöns, squire as Bengt Ekerot as Death as Nils Poppe as Jof… as Bibi Andersson as Mia… as Inga Gill as Lisa, Blacksmith's Wife as Maud Hansson as Witch as Inga Landgré as Karin, Block's Wife as Gunnel Lindblom as Girl as Bertil Anderberg as Raval as Anders Ek as The Monk as Åke Fridell as Blacksmith Plog as Gunnar Olsson as Albertus Pictor, Church Painter as Erik Strandmark as Jonas Skat as Siv Aleros as Flagellant(uncredited) as Sten Ardenstam as Knight(uncredited) as Harry Asklund as The Landlord(uncredited) as Benkt-Åke Benktsson as Merchant at the Inn(uncredited)","A knight returning to Sweden after the Crusades seeks answers about life, death, and the existence of God as he plays chess against the Grim Reaper during the Black Plague.",206,8.1,"https://m.media-amazon.com/images/M/MV5BOWM3MmE0OGYtOGVlNC00OWE1LTk5ZTAtYmUwMDIwM2ZlNWJiXkEyXkFqcGdeQXVyMjUzOTY1NTc@._V1_QL75_UY281_CR2,0,190,281_.jpg"
206,Ford v Ferrari,2019,2h 32m,PG-13,James Mangold,"Matt Damon , Carroll Shelby , Christian Bale , Ken Miles , Jon Bernthal , Lee Iacocca , Caitríona Balfe , Mollie Miles(as Caitriona Balfe) , Josh Lucas , Leo Beebe , Noah Jupe , Peter Miles , Tracy Letts , Henry Ford II , Remo Girone , Enzo Ferrari , Ray McKinnon , Phil Remington , JJ Feild , Roy Lunn , Jack McMullen , Charlie Agapiou , Corrado Invernizzi , Franco Gozzi , Joe Williamson , Don Frey , Ian Harding , Ford Executive - Ian , Christopher Darga , John Holman , Shawn Law , Al 'Gus' Scussel , Emil Beheshti , Aeronutronics Chief Engineer , Darrin Prescott , Bob Bondurant",American car designer Carroll Shelby and driver Ken Miles battle corporate interference and the laws of physics to build a revolutionary race car for Ford in order to defeat Ferrari at the 24 Hours of Le Mans in 1966.,207,8.1,"https://m.media-amazon.com/images/M/MV5BM2UwMDVmMDItM2I2Yi00NGZmLTk4ZTUtY2JjNTQ3OGQ5ZjM2XkEyXkFqcGdeQXVyMTA1OTYzOTUx._V1_QL75_UY281_CR0,0,190,281_.jpg"
207,Room,2015,1h 58m,R,Lenny Abrahamson,"Brie Larson , Ma , Jacob Tremblay , Jack , Sean Bridgers , Old Nick , Wendy Crewson , Talk Show Hostess , Sandy McMaster , Veteran , Matt Gordon , Doug , Amanda Brugel , Officer Parker , Joe Pingue , Officer Grabowski , Joan Allen , Nancy , Zarrin Darnell-Martin , Attending Doctor , Cas Anvar , Dr. Mittal , William H. Macy , Robert , Jee-Yun Lee , News Anchor , Randal Edwards , Lawyer , Justin Mader , FBI Agent , Ola Sturik , Reporter #1 , Rodrigo Fernandez-Stoll , Reporter #2 , Rory O'Shea , Reporter #3","A little boy is held captive in a room with his mother since his birth, so he has never known the world outside.",208,8.1,"https://m.media-amazon.com/images/M/MV5BMjE4NzgzNzEwMl5BMl5BanBnXkFtZTgwMTMzMDE0NjE@._V1_QL75_UX190_CR0,0,190,281_.jpg"
208,The Big Lebowski,1998,1h 57m,R,Joel Coen,"Jeff Bridges , The Dude , John Goodman , Walter Sobchak , Julianne Moore , Maude Lebowski , Steve Buscemi , Theodore Donald 'Donny' Kerabatsos , David Huddleston , The Big Lebowski , Philip Seymour Hoffman , Brandt , Tara Reid , Bunny Lebowski , Philip Moon , Treehorn Thug #1 , Mark Pellegrino , Treehorn Thug #2 , Peter Stormare , Nihilist #1, Uli Kunkel… , Flea , Nihilist #2 , Torsten Voges , Nihilist #3 , Jimmie Dale Gilmore , Smokey , Jack Kehler , Dude's Landlord , John Turturro , Jesus Quintana , James G. Hoosier , Quintana's Partner , Carlos Leon , Maude's Thug #1 , Terrence Burton , Maude's Thug #2(as Terrance Burton)","Jeff ""The Dude"" Lebowski, mistaken for a millionaire of the same name, seeks restitution for his ruined rug and enlists his bowling buddies to help get it.",209,8.1,"https://m.media-amazon.com/images/M/MV5BMzliZDk0NjctNjhlOC00MWEyLWI3OWYtNjA5ZDYxMTMzNTc5XkEyXkFqcGdeQXVyNTAyODkwOQ@@._V1_QL75_UY281_CR1,0,190,281_.jpg"
209,Tokyo Story,1953,2h 16m,Not Rated,Yasujirô Ozu,"Chishû Ryû , Shukichi Hirayama , Chieko Higashiyama , Tomi Hirayama , Sô Yamamura , Koichi Hirayama , Setsuko Hara , Noriko Hirayama , Haruko Sugimura , Shige Kaneko , Kuniko Miyake , Fumiko Hirayama - his wife , Kyôko Kagawa , Kyôko Hirayama , Eijirô Tôno , Sanpei Numata , Nobuo Nakamura , Kurazo Kaneko , Shirô Ôsaka , Keizo Hirayama , Hisao Toake , Osamu Hattori , Teruko Nagaoka , Yone Hattori , Mutsuko Sakura , Oden-ya no onna , Toyo Takahashi , Rinka no saikun(as Toyoko Takahashi) , Tôru Abe , Tetsudou-shokuin , Sachiko Mitani , Aparto no onna , Zen Murase , Minoru Hirayama - Koichi's son , Mitsuhiro Môri , Isamu Hirayama - Koichi's son","An old couple visit their children and grandchildren in the city, but receive little attention.",210,8.1,"https://m.media-amazon.com/images/M/MV5BYWQ4ZTRiODktNjAzZC00Nzg1LTk1YWQtNDFmNDI0NmZiNGIwXkEyXkFqcGdeQXVyNzkwMjQ5NzM@._V1_QL75_UY281_CR3,0,190,281_.jpg"
210,Ratatouille,2007,1h 51m,G,Brad Bird,"Brad Garrett , Gusteau(voice) , Lou Romano , Linguini(voice) , Patton Oswalt , Remy(voice) , Ian Holm , Skinner(voice) , Brian Dennehy , Django(voice) , Peter Sohn , Emile(voice) , Peter O'Toole , Anton Ego(voice) , Janeane Garofalo , Colette(voice) , Will Arnett , Horst(voice) , Julius Callahan , Lalo(voice)… , James Remar , Larousse(voice) , John Ratzenberger , Mustafa(voice) , Teddy Newton , Lawyer (Talon Labarthe)(voice) , Tony Fucile , Pompidou(voice)… , Jake Steinfeld , Git (Lab Rat)(voice) , Brad Bird , Ambrister Minion(voice) , Stéphane Roux , TV Narrator(voice) , Jack Bird , Teen Rat(voice)",A rat who can cook makes an unusual alliance with a young kitchen worker at a famous Paris restaurant.,211,8.1,"https://m.media-amazon.com/images/M/MV5BMTMzODU0NTkxMF5BMl5BanBnXkFtZTcwMjQ4MzMzMw@@._V1_QL75_UX190_CR0,0,190,281_.jpg"
211,Rocky,1976,2h,PG,John G. Avildsen,"Sylvester Stallone , Rocky , Talia Shire , Adrian , Burt Young , Paulie , Carl Weathers , Apollo , Burgess Meredith , Mickey , Thayer David , Jergens , Joe Spinell , Gazzo , Jimmy Gambina , Mike , Bill Baldwin , Fight Announcer , Al Silvani , Cut Man(as Al Salvani) , George Memmoli , Ice Rink Attendant , Jodi Letizia , Marie , Diana Lewis , TV Commentator , George O'Hanlon , TV Commentator , Larry Carroll , TV Interviewer , Stan Shaw , Dipper , Don Sherman , Bartender , Billy Sands , Club Fight Announcer",A small-time Philadelphia boxer gets a supremely rare chance to fight the world heavyweight champion in a bout in which he strives to go the distance for his self-respect.,212,8.1,"https://m.media-amazon.com/images/M/MV5BNTBkMjg2MjYtYTZjOS00ODQ0LTg0MDEtM2FiNmJmOGU1NGEwXkEyXkFqcGdeQXVyMjUzOTY1NTc@._V1_QL75_UX190_CR0,4,190,281_.jpg"
